nom;prix_intervalle;rating;nb_notes;adresse;ville;main_category;commune;code_postal;arrondissement;zone_paris;INSEE_FROM_CP;INSEE_COM;NOM;POP;Population_3_20;C20_FAM;C20_FAMMONO;QL3_20;QLFMONO;RDISP_MED;tx_BAC;tx_O;tx_Chom;FDep;APL;
Bouillon Pigalle;25.0;5.0;52298;22 Bd de Clichy;Paris, Ile-de-France, France;restaurant francais;Paris;75018;18.0;peripherie;75118;75118;Paris 18e Arrondissement;191135.0;30805.0161302009;43425.8288875106;9783.97545467691;0.703127291700882;1.15771103039105;23930;0.715037004573533;0.059916595322748;0.092040756232497;0.490370335625503;4.506;
Les Cocottes;32.0;5.0;11308;135 Rue Saint-Dominique;Paris, Ile-de-France, France;restaurant francais;Paris;75007;7.0;centre;75107;75107;Paris 7e Arrondissement;48520.0;8118.98517883259;11547.3973563606;1512.59421664728;0.730018207474047;0.673087086427869;44110;0.855623356214713;0.022072883224414;0.061382880841802;4.68011779355016;5.554;
Yi Fang - Bubble Tea The aux Fruits - Choisy;9.0;5.0;3567;15 Rue des Freres dAstier de la Vigerie, 66 Av. de Choisy;Paris, Ile-de-France, France;desserts;Paris;75001;1.0;centre;75101;75101;Paris 1er Arrondissement;16030.0;2253.85676832728;3625.24399870642;646.448751278679;0.61340247876124;0.916283343788528;33960;0.812463042504407;0.030768029448353;0.07851608460805;2.78080078176679;6.207;
Chouchou;20.0;5.0;19925;23 Bd de Sebastopol;Paris, Ile-de-France, France;restaurant mediterraneens;Paris;75001;1.0;centre;75101;75101;Paris 1er Arrondissement;16030.0;2253.85676832728;3625.24399870642;646.448751278679;0.61340247876124;0.916283343788528;33960;0.812463042504407;0.030768029448353;0.07851608460805;2.78080078176679;6.207;
Del Totorino la pizza au feu de bois;15.0;5.0;5827;36 Rue de Bagnolet;Paris, Ile-de-France, France;pizzeria;Paris;75020;20.0;peripherie;75120;75120;Paris 20e Arrondissement;192120.0;34501.8608831934;45625.9473893605;10814.6048915272;0.783470551843193;1.21795626946964;22880;0.673210217111925;0.059616922239316;0.108925178614908;-0.129348618170574;4.333;
Happy Caffe;5.5;5.0;8216;214 Rue de Rivoli;Paris, Ile-de-France, France;cafe;Paris;75001;1.0;centre;75101;75101;Paris 1er Arrondissement;16030.0;2253.85676832728;3625.24399870642;646.448751278679;0.61340247876124;0.916283343788528;33960;0.812463042504407;0.030768029448353;0.07851608460805;2.78080078176679;6.207;
Jungle Palace by Ephemera;30.0;5.0;20675;12 Rue de la Fidelite;Paris, Ile-de-France, France;restaurant;Paris;75010;10.0;intermediaire;75110;75110;Paris 10e Arrondissement;83459.0;13494.021452243;19584.0122896016;3264.72212696351;0.705376448586344;0.856598842358534;28060;0.774063111880029;0.044224639427051;0.095936388703015;1.40254851180917;5.934;
Mosuke;100.0;5.0;2172;11 Rue Raymond Losserand;Paris, Ile-de-France, France;restaurant francais;Paris;75014;14.0;intermediaire;75114;75114;Paris 14e Arrondissement;133967.0;22244.8424291788;30318.9850075247;6009.22091911199;0.724409667253306;1.01844233884749;28730;0.782915953622741;0.030631479354502;0.07956018221338;1.94411586474717;4.301;
Sphere;100.0;5.0;16755;18 Rue La Boetie;Paris, Ile-de-France, France;restaurant francais;Paris;75008;8.0;centre;75108;75108;Paris 8e Arrondissement;35631.0;7081.67320716381;8845.45397479675;1289.69041278396;0.867082869656758;0.749200878157974;42680;0.83621824477181;0.030587773598227;0.063637978583227;4.27771457621156;5.256;
Manteigaria - Fabrica de Pasteis de Nata Saint-Lazare;5.5;5.0;3986;123 Rue Saint-Lazare;Paris, Ile-de-France, France;cafe georgien;Paris;75008;8.0;centre;75108;75108;Paris 8e Arrondissement;35631.0;7081.67320716381;8845.45397479675;1289.69041278396;0.867082869656758;0.749200878157974;42680;0.83621824477181;0.030587773598227;0.063637978583227;4.27771457621156;5.256;
Manteigaria - Fabrica de Pasteis de Nata Rambuteau;5.5;5.0;6527;24 Rue Rambuteau;Paris, Ile-de-France, France;cafe georgien;Paris;75003;3.0;centre;75103;75103;Paris 3e Arrondissement;33402.0;4727.55499053531;7816.18302332249;1418.54178817573;0.617471409097184;0.932567652401368;33180;0.836094404907947;0.02735407706541;0.080415680775181;2.7962955716641;5.736;
Immersion Sentier - Lunch Everyday Brunch Coffee;25.0;5.0;5306;106 Rue Montmartre;Paris, Ile-de-France, France;cafe;Paris;75002;2.0;centre;75102;75102;Paris 2e Arrondissement;21130.0;3000.31881558287;4924.89480734583;659.024051475884;0.619470520834343;0.687602171366908;32380;0.840393667932997;0.036713077447815;0.081152251209948;2.60730658520125;6.091;
LEbauchoir;25.0;5.0;3239;43 rue Citeaux;Paris, Ile-de-France, France;restaurant francais;Paris;75012;12.0;intermediaire;75112;75112;Paris 12e Arrondissement;140311.0;23290.1806582801;33253.9188177107;6535.30052445586;0.724158900822797;1.00984719740025;29250;0.757852723654768;0.038086111867207;0.078425923577196;1.8346477947609;4.146;
Hestia Restaurant;65.0;5.0;819;8 Rue de la Huchette;Paris, Ile-de-France, France;restaurant;Paris;75005;5.0;centre;75105;75105;Paris 5e Arrondissement;57380.0;10853.1833131306;12762.6203488744;2047.51752995005;0.825181209903045;0.824367215166068;34650;0.852722588714883;0.022065761923038;0.061616505985879;3.43672949788336;5.6;
