nom,prix_intervalle,rating,nb_notes,adresse,ville,main_category,commune,code_postal,arrondissement,zone_paris
Bouillon Pigalle,25.0,5.0,52298,22 Bd de Clichy,"Paris, Ile-de-France, France",restaurant francais,Paris,75018.0,18.0,peripherie
Les Cocottes,32.0,5.0,11308,135 Rue Saint-Dominique,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
Yi Fang - Bubble Tea The aux Fruits - Choisy,9.0,5.0,3567,"15 Rue des Freres dAstier de la Vigerie, 66 Av. de Choisy","Paris, Ile-de-France, France",desserts,Paris,75001.0,1.0,centre
Chouchou,20.0,5.0,19925,23 Bd de Sebastopol,"Paris, Ile-de-France, France",restaurant mediterraneens,Paris,75001.0,1.0,centre
Del Totorino la pizza au feu de bois,15.0,5.0,5827,36 Rue de Bagnolet,"Paris, Ile-de-France, France",pizzeria,Paris,75020.0,20.0,peripherie
Happy Caffe,5.5,5.0,8216,214 Rue de Rivoli,"Paris, Ile-de-France, France",cafe,Paris,75001.0,1.0,centre
Jungle Palace by Ephemera,30.0,5.0,20675,12 Rue de la Fidelite,"Paris, Ile-de-France, France",restaurant,Paris,75010.0,10.0,intermediaire
Mosuke,100.0,5.0,2172,11 Rue Raymond Losserand,"Paris, Ile-de-France, France",restaurant francais,Paris,75014.0,14.0,intermediaire
Sphere,100.0,5.0,16755,18 Rue La Boetie,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Manteigaria - Fabrica de Pasteis de Nata Saint-Lazare,5.5,5.0,3986,123 Rue Saint-Lazare,"Paris, Ile-de-France, France",cafe georgien,Paris,75008.0,8.0,centre
Manteigaria - Fabrica de Pasteis de Nata Rambuteau,5.5,5.0,6527,24 Rue Rambuteau,"Paris, Ile-de-France, France",cafe georgien,Paris,75003.0,3.0,centre
Immersion Sentier - Lunch Everyday Brunch Coffee,25.0,5.0,5306,106 Rue Montmartre,"Paris, Ile-de-France, France",cafe,Paris,75002.0,2.0,centre
