nom;prix_intervalle;rating;nb_notes;adresse;ville;latitude;longitude;main_category;lat_round;lon_round;commune;code_postal;code_insee;arrondissement;zone_paris;
Bouillon Pigalle;25.0;5.0;52298;22 Bd de Clichy;Paris, Île-de-France, France;48.8826242;2.3374171;restaurant français;48.8826;2.3374;Paris;75018;;18;peripherie;
Les Cocottes;32.0;5.0;11308;135 Rue Saint-Dominique;Paris, Île-de-France, France;48.8582148;2.3019196;restaurant français;48.8582;2.3019;Paris;75007;;7;centre;
Yi Fang - Bubble Tea & Thé aux Fruits - Choisy 一芳台灣水果茶;9.0;5.0;3567;15 Rue des Frères d'Astier de la Vigerie, 66 Av. de Choisy;Paris, Île-de-France, France;48.86597;2.337176;desserts;48.866;2.3372;Paris;75001;;1;centre;
Chouchou;20.0;5.0;19925;23 Bd de Sébastopol;Paris, Île-de-France, France;48.8599744;2.3487234;restaurant méditerranéens;48.86;2.3487;Paris;75001;;1;centre;
Del Totorino la pizza au feu de bois;15.0;5.0;5827;36 Rue de Bagnolet;Paris, Île-de-France, France;48.8568906;2.3979635;pizzeria;48.8569;2.398;Paris;75020;;20;peripherie;
Happy Caffé;5.5;5.0;8216;214 Rue de Rivoli;Paris, Île-de-France, France;48.8646927;2.3296897;café;48.8647;2.3297;Paris;75001;;1;centre;
Jungle Palace by Ephemera;30.0;5.0;20675;12 Rue de la Fidélité;Paris, Île-de-France, France;48.8748014;2.35665;restaurant;48.8748;2.3566;Paris;75010;;10;intermediaire;
Mosuke;100.0;5.0;2172;11 Rue Raymond Losserand;Paris, Île-de-France, France;48.8362615;2.3224834;restaurant français;48.8363;2.3225;Paris;75014;;14;intermediaire;
Sphère;100.0;5.0;16755;18 Rue La Boétie;Paris, Île-de-France, France;48.8742665;2.3169387;restaurant français;48.8743;2.3169;Paris;75008;;8;centre;
Manteigaria - Fábrica de Pasteis de Nata Saint-Lazare;5.5;5.0;3986;123 Rue Saint-Lazare;Paris, Île-de-France, France;48.8751852;2.3252911;café géorgien;48.8752;2.3253;Paris;75008;;8;centre;
Manteigaria - Fábrica de Pastéis de Nata Rambuteau;5.5;5.0;6527;24 Rue Rambuteau;Paris, Île-de-France, France;48.8610449;2.3544394;café géorgien;48.861;2.3544;Paris;75003;;3;centre;
