"id_restaurant","nom_restaurant","prix_moyen","rating","nb_notes","adresse","ville","main_category","commune","code_postal","arrondissement","zone_paris","insee_from_cp","insee_com","nom_arrondissement","pop_totale","pop_3_20_ans","nb_familles","nb_familles_mono","part_pop_3_20","part_fam_mono","revenu_median","taux_bac","taux_ouvrier","taux_chomage","facteur_deprivation","part_apl"
1,"Bouillon Pigalle",25.0,5.0,52298,"22 Bd de Clichy","Paris, Ile-de-France, France","restaurant francais","Paris","75018",18,"peripherie","75118","75118","Paris 18e Arrondissement",191135.0,30805.0161302009,43425.8288875106,9783.97545467691,0.703127291700882,1.15771103039105,23930,0.715037004573533,0.059916595322748,0.092040756232497,0.490370335625503,4.506
2,"Les Cocottes",32.0,5.0,11308,"135 Rue Saint-Dominique","Paris, Ile-de-France, France","restaurant francais","Paris","75007",7,"centre","75107","75107","Paris 7e Arrondissement",48520.0,8118.98517883259,11547.3973563606,1512.59421664728,0.730018207474047,0.673087086427869,44110,0.855623356214713,0.022072883224414,0.061382880841802,4.68011779355016,5.554
3,"Yi Fang - Bubble Tea The aux Fruits - Choisy",9.0,5.0,3567,"15 Rue des Freres dAstier de la Vigerie, 66 Av. de Choisy","Paris, Ile-de-France, France","desserts","Paris","75001",1,"centre","75101","75101","Paris 1er Arrondissement",16030.0,2253.85676832728,3625.24399870642,646.448751278679,0.61340247876124,0.916283343788528,33960,0.812463042504407,0.030768029448353,0.07851608460805,2.78080078176679,6.207
4,"Chouchou",20.0,5.0,19925,"23 Bd de Sebastopol","Paris, Ile-de-France, France","restaurant mediterraneens","Paris","75001",1,"centre","75101","75101","Paris 1er Arrondissement",16030.0,2253.85676832728,3625.24399870642,646.448751278679,0.61340247876124,0.916283343788528,33960,0.812463042504407,0.030768029448353,0.07851608460805,2.78080078176679,6.207
5,"Del Totorino la pizza au feu de bois",15.0,5.0,5827,"36 Rue de Bagnolet","Paris, Ile-de-France, France","pizzeria","Paris","75020",20,"peripherie","75120","75120","Paris 20e Arrondissement",192120.0,34501.8608831934,45625.9473893605,10814.6048915272,0.783470551843193,1.21795626946964,22880,0.673210217111925,0.059616922239316,0.108925178614908,-0.129348618170574,4.333
6,"Happy Caffe",5.5,5.0,8216,"214 Rue de Rivoli","Paris, Ile-de-France, France","cafe","Paris","75001",1,"centre","75101","75101","Paris 1er Arrondissement",16030.0,2253.85676832728,3625.24399870642,646.448751278679,0.61340247876124,0.916283343788528,33960,0.812463042504407,0.030768029448353,0.07851608460805,2.78080078176679,6.207
7,"Jungle Palace by Ephemera",30.0,5.0,20675,"12 Rue de la Fidelite","Paris, Ile-de-France, France","restaurant","Paris","75010",10,"intermediaire","75110","75110","Paris 10e Arrondissement",83459.0,13494.021452243,19584.0122896016,3264.72212696351,0.705376448586344,0.856598842358534,28060,0.774063111880029,0.044224639427051,0.095936388703015,1.40254851180917,5.934
8,"Mosuke",100.0,5.0,2172,"11 Rue Raymond Losserand","Paris, Ile-de-France, France","restaurant francais","Paris","75014",14,"intermediaire","75114","75114","Paris 14e Arrondissement",133967.0,22244.8424291788,30318.9850075247,6009.22091911199,0.724409667253306,1.01844233884749,28730,0.782915953622741,0.030631479354502,0.07956018221338,1.94411586474717,4.301
9,"Sphere",100.0,5.0,16755,"18 Rue La Boetie","Paris, Ile-de-France, France","restaurant francais","Paris","75008",8,"centre","75108","75108","Paris 8e Arrondissement",35631.0,7081.67320716381,8845.45397479675,1289.69041278396,0.867082869656758,0.749200878157974,42680,0.83621824477181,0.030587773598227,0.063637978583227,4.27771457621156,5.256
10,"Manteigaria - Fabrica de Pasteis de Nata Saint-Lazare",5.5,5.0,3986,"123 Rue Saint-Lazare","Paris, Ile-de-France, France","cafe georgien","Paris","75008",8,"centre","75108","75108","Paris 8e Arrondissement",35631.0,7081.67320716381,8845.45397479675,1289.69041278396,0.867082869656758,0.749200878157974,42680,0.83621824477181,0.030587773598227,0.063637978583227,4.27771457621156,5.256
11,"Manteigaria - Fabrica de Pasteis de Nata Rambuteau",5.5,5.0,6527,"24 Rue Rambuteau","Paris, Ile-de-France, France","cafe georgien","Paris","75003",3,"centre","75103","75103","Paris 3e Arrondissement",33402.0,4727.55499053531,7816.18302332249,1418.54178817573,0.617471409097184,0.932567652401368,33180,0.836094404907947,0.02735407706541,0.080415680775181,2.7962955716641,5.736
